"V2","typ"
"Samaron Fashion (Pvt.) Ltd.","BGMEA"
"Islam Garments Ltd. (Hosiery Div.)","BGMEA"
"Apparel and Apparel Co. Ltd.","BGMEA"
"Sea Bird Apparels Ltd.","BGMEA"
"The New Delta Apparels Ltd.","BGMEA"
"Update Fashions Ltd.","BGMEA"
"Biswas Garments Ltd.","BGMEA"
"East West Services Ltd.","BGMEA"
"Dabstar and Associates Ltd.","BGMEA"
"Haque Wears Intl. (Pvt) Ltd.","BGMEA"
"Orient Dresses Ltd.","BGMEA"
"Mifkif Apparel Ltd.","BGMEA"
"Mas Trade Int'l. Garments Ltd.","BGMEA"
"Gooryong Fashions Ltd.","BGMEA"
"Faman Raiments Ltd.","BGMEA"
"Imperial Dyeing & Hosiery Mills Ltd.","BGMEA"
"Italia Garments Ltd.","BGMEA"
"Shifa Apparels (Pvt.) Ltd.","BGMEA"
"Concord Fashion Export Ltd.","BGMEA"
"Roots Fashions Ltd.","BGMEA"
"M.S. Fashions Ltd.","BGMEA"
"Alliance Fashion Ltd.","BGMEA"
"Chaity Garments Ltd.","BGMEA"
"Evince Limited.","BGMEA"
"Evince Ladies Wear Ltd.","BGMEA"
"Ashfatex Ltd.","BGMEA"
"JNH Hatwears (Bangladesh) Ltd.","BGMEA"
"Apparel Export Ltd.","BGMEA"
"F.R. Garments (Pvt.) Ltd.","BGMEA"
"Ocean Fashions Ltd.","BGMEA"
"Uttara Apparels Ltd.","BGMEA"
"Mascot Apparel Ltd.","BGMEA"
"Angel Fashion","BGMEA"
"Apex Spinning & Knitting Mills Ltd.","BGMEA"
"Golam Murshed & Brothers Ltd.","BGMEA"
"Hope Fashions Ltd.","BGMEA"
"Fortune Garments Ltd.","BGMEA"
"A.B.M Apparels Ltd.","BGMEA"
"Federal Garments Ltd.","BGMEA"
"Sheffield Ltd.","BGMEA"
"Jessica Apparels Limited","BGMEA"
"Oriental Industrial Co. Ltd.","BGMEA"
"Active Apparels (Pvt.) Ltd.","BGMEA"
"Skyhawk Apparels Ltd.","BGMEA"
"Al-Muslim Garments Ltd.","BGMEA"
"Scissors Garments Ltd.","BGMEA"
"Tania Knit Ltd.","BGMEA"
"Searock Apparels Limited","BGMEA"
"Apparel Crafts Ltd.","BGMEA"
"Tiffiny's Wear Ltd.","BGMEA"
"Capital Fashions Limited","BGMEA"
"Aparupa Garments Industries Ltd. (U-2)","BGMEA"
"Izafa Garments (Pvt) Ltd.","BGMEA"
"Alif Apparels Limited","BGMEA"
"Sharp Fashion Ltd.","BGMEA"
"Faiyaz Apparel Ltd.","BGMEA"
"Floret (Pvt.) Ltd.","BGMEA"
"Olympic Apparels Ltd.","BGMEA"
"Shikha Garments Ltd.","BGMEA"
"Islam Garments Ltd. (U-2)","BGMEA"
"Classic Wears Ltd.","BGMEA"
"Fashion Zone Ltd.","BGMEA"
"Taurus Styles Ltd.","BGMEA"
"Patriot Garments Ltd.","BGMEA"
"Waisi Apparels Ltd.","BGMEA"
"Wins Garments Ltd.","BGMEA"
"Bangladesh Dresses Limited","BGMEA"
"Zilani Apparels Limited","BGMEA"
"Alliance Fashion Wears Ltd.","BGMEA"
"Unitrade Fashions Ltd.","BGMEA"
"K.A.W. Garments Industry Ltd.","BGMEA"
"Civic Fashion Limited","BGMEA"
"Yemen Apparels Ltd.","BGMEA"
"Genesis Fashion Ltd.","BGMEA"
"Morshed Apparels Ltd.","BGMEA"
"R.M. Fashions Ltd.","BGMEA"
"Trade Sweater Factory Ltd.","BGMEA"
"Nomura Corporation Ltd.","BGMEA"
"Borax Apparels Ltd.","BGMEA"
"Chancellor Garments Ltd.","BGMEA"
"Ever Fashion Ltd.","BGMEA"
"HTH Garments Ltd.","BGMEA"
"Union Garments Ltd.","BGMEA"
"Spider Fashion Ltd.","BGMEA"
"SQ Sweaters Ltd.","BGMEA"
"Queens Apparel Ltd.","BGMEA"
"Sterling Fashion Wear Ltd.","BGMEA"
"Zasaka Garments Ltd.","BGMEA"
"Needs Fashions (Pvt.) Ltd.","BGMEA"
"North Star Apparel Ltd.","BGMEA"
"Impressive Garments (Pvt.) Ltd.","BGMEA"
"Dekko Fashions Ltd.","BGMEA"
"Dekko Knitwears Limited","BGMEA"
"S. Islam Fashion Ltd.","BGMEA"
"Onus Apparels Ltd.","BGMEA"
"ABA Garments Ltd.","BGMEA"
"Bismillah Knitwear Ltd.","BGMEA"
"MAM Garments Ltd.","BGMEA"
"Husham Dresses Ltd.","BGMEA"
"Majumder Apparels Ltd.","BGMEA"
"Samata Prokousali (Gr.Dv.) Ltd.","BGMEA"
"Pacific Sweaters Ltd.","BGMEA"
"Crystal Apparels Ltd.","BGMEA"
"Jamuna Knitting & Dyeing Ltd.","BGMEA"
"Universal Fashion Wears Ltd.","BGMEA"
"Sajib Knitwear & Garments Ltd.","BGMEA"
"Oceania Fashion Apparels Ltd.","BGMEA"
"Newstar Fashions Ltd.","BGMEA"
"Spencer Apparels Ltd.","BGMEA"
"Megastar Apparels Ltd.","BGMEA"
"Nofs Garments Ltd.","BGMEA"
"Topaz Garments Ltd.","BGMEA"
"Commisioner Apparels Ltd.","BGMEA"
"Shinest Garments Ltd.","BGMEA"
"Newage Fashionwear Ltd.","BGMEA"
"Cynosure Apparels Ltd.","BGMEA"
"Century Knit Wear","BGMEA"
"Clockwise Garments Ltd.","BGMEA"
"Ananya Apparels Ltd.","BGMEA"
"Fashion Makers Ltd.","BGMEA"
"F.F. Fashions Ltd.","BGMEA"
"Bonny Apparels (Pvt) Ltd.","BGMEA"
"Narail Garments (Pvt) Ltd.","BGMEA"
"Northern Corporation Ltd.","BGMEA"
"Linkon Apparel Ltd.","BGMEA"
"Tinab Fashions Ltd.","BGMEA"
"Perfect Sharp Apparel Ltd.","BGMEA"
"The Bay Super Textile Mills Ltd.","BGMEA"
"Warika Fashions Ltd.","BGMEA"
"Prostar Knitted Hats & Gloves Mfg. Ltd.","BGMEA"
"Essar Apparels Ltd.","BGMEA"
"Design & Fashion Ltd.","BGMEA"
"Camellia Apparels Limited","BGMEA"
"M.A. Knitters Ltd.","BGMEA"
"Hong Kong Garments Ltd.","BGMEA"
"B.K. Knit Fashion","BGMEA"
"Wonder Apparels Ltd.","BGMEA"
"GK Garments Ltd. (U-2)","BGMEA"
"Florence Apparels Ltd.","BGMEA"
"Shawn Associate Ltd.","BGMEA"
"Eurotex Ltd.","BGMEA"
"Grand Attires Ltd.","BGMEA"
"Texas Apparels Ltd.","BGMEA"
"Venix Bangladesh","BGMEA"
"Fashion Network Ltd.","BGMEA"
"Nassa Apparels Ltd.","BGMEA"
"Sinha Fashions Ltd.","BGMEA"
"MBM Fashion Wear Ltd.","BGMEA"
"Tripos Engineering & Trading Co. (G.D.)","BGMEA"
"Dipta Garments Ltd.","BGMEA"
"Alpine Apparels Ltd.","BGMEA"
"Florida Fashions (Pvt) Ltd.","BGMEA"
"B.M. Garments (Pvt.) Ltd.","BGMEA"
"Spotfame Apparels Ltd.","BGMEA"
"Dwell Fashions Ltd.","BGMEA"
"Fashion Care Ltd.","BGMEA"
"K.B. Apparels Ltd.","BGMEA"
"Time Garments Ltd.","BGMEA"
"Sadia Apparels Ltd.","BGMEA"
"Royel Dresses Int'l (Pvt.) Ltd.","BGMEA"
"Crazy Fashions Ltd.","BGMEA"
"Tip Top Fashions Ltd.","BGMEA"
"Peak Fashions Ltd.","BGMEA"
"Wear Mag Ltd.","BGMEA"
"Adhunik Poshak Shilpa Ltd.","BGMEA"
"Mag Sweaters Ltd.","BGMEA"
"Shohag Knitting Ltd.","BGMEA"
"Vision Apparels (Pvt.) Ltd.","BGMEA"
"Mirabella Dresses Ltd.","BGMEA"
"Youngone Hi-Tech Sportswear Inds.Ltd.","BGMEA"
"Samsons Sweaters Ltd.","BGMEA"
"Shomahar Sweaters Ltd.","BGMEA"
"Southern Cross Int'l Ltd.","BGMEA"
"Beacon Sweater Ind. Ltd.","BGMEA"
"Noble Design & Dress Ind. Ltd.","BGMEA"
"Sikder Apparel Hosiery Ltd.","BGMEA"
"HRB Apparels Ltd.","BGMEA"
"Leader Knit Wear Ltd.","BGMEA"
"Trade Fashions Industries Ltd.","BGMEA"
"Cotton Line (BD) Ltd.","BGMEA"
"Flash Apparels Ltd.","BGMEA"
"Shanta Apparel Ltd.","BGMEA"
"J.B.S. Garments (Pvt.) Ltd.","BGMEA"
"Turbo Knit Wear Ltd.","BGMEA"
"B. Ghani And Associates Ltd.","BGMEA"
"Minimax Ltd.","BGMEA"
"Como Apparels Ltd.","BGMEA"
"Pastel Apparels Ltd.","BGMEA"
"T.H. Fashions","BGMEA"
"Naba Apparels Ltd.","BGMEA"
"M.A. Gaffar Ltd.","BGMEA"
"Moni Sweater Ltd.","BGMEA"
"Fame Knitwears Ltd.","BGMEA"
"Wintex Garments Ltd.","BGMEA"
"H.R. Fashion","BGMEA"
"Shatil Garments (Pvt.) Ltd.","BGMEA"
"Zia Apparels King Ltd.","BGMEA"
"Elegance Orientale Ltd.","BGMEA"
"Well Tex","BGMEA"
"Uttara Garments Ltd.","BGMEA"
"Rhine Fashions (Pvt.) Ltd.","BGMEA"
"Kimberley Apparels Ltd.","BGMEA"
"Midway Apparels Ltd.","BGMEA"
"Brooks (BD) Garments Co. Ltd.","BGMEA"
"Arcadia Apparels Ltd.","BGMEA"
"Feroza Garments Ltd.","BGMEA"
"Mouli Garments (Pvt.) Ltd.","BGMEA"
"Hamdil Fashion Wears Ltd.","BGMEA"
"Saad Sewing Ltd.","BGMEA"
"Agami Apparels Ltd.","BGMEA"
"Everest Apparels Ltd.","BGMEA"
"Festive (Pvt.) Ltd.","BGMEA"
"Ital Adweg (Pvt.) Ltd.","BGMEA"
"Lucid Apparels Ltd.","BGMEA"
"Jaroms Industries Ltd.","BGMEA"
"SIS Garments Ltd.","BGMEA"
"F.A.R. Apparel Ltd.","BGMEA"
"Sydney Fashions Ltd.","BGMEA"
"Bengal Apparels","BGMEA"
"Creative Sweaters (Pvt.) Ltd.","BGMEA"
"Amico Apparels Ltd.","BGMEA"
"Focus Fashions Ltd.","BGMEA"
"R.B.R. Fashion","BGMEA"
"M N Sweaters Ltd.","BGMEA"
"Nasrin Garments Ltd.","BGMEA"
"Shamrock Knitwear Ltd.","BGMEA"
"Greenland Garments Ltd.","BGMEA"
"Mid Asia Fashions Ltd.","BGMEA"
"Ruskin Apparels Ltd.","BGMEA"
"Sandwip Fashions Ltd.","BGMEA"
"Prottasha Dyeing & Printing Ind.(Pvt)Ltd","BGMEA"
"Mohammadi Knitwears Ltd.","BGMEA"
"Expo Dress Ltd.","BGMEA"
"Ornate Garments Ltd.","BGMEA"
"S.R.S. Fashions (Pvt.) Ltd.","BGMEA"
"Abedin Fashion Wear Ltd.","BGMEA"
"Shathi Fashion Apparels","BGMEA"
"Shezads Ltd.","BGMEA"
"Pashmina Sweater Ltd.","BGMEA"
"New Brothers Knitwear Ltd.","BGMEA"
"Seo Wan Bangladesh Ltd.","BGMEA"
"Lyric Garments Ltd.","BGMEA"
"Noor Apparels","BGMEA"
"Fancy Fashion Wear Ltd.","BGMEA"
"B. Brothers Garments Co. Ltd.","BGMEA"
"Chaity Apparels Ltd.","BGMEA"
"Texas Fashions","BGMEA"
"Dada (Savar) Ltd.","BGMEA"
"Khaleque Knitting & Gmt. Ind.(Pvt) Ltd.","BGMEA"
"Expo World Wide Ltd.","BGMEA"
"Sisters Apparel Ltd.","BGMEA"
"Fine Crafts Ltd.","BGMEA"
"Salman Adnan (Pvt.) Ltd.","BGMEA"
"Attune Garments Ltd.","BGMEA"
"Palmal Garments Hosiery Ltd.","BGMEA"
"Comfort Apparels (Pvt.) Ltd.","BGMEA"
"Array Wears Ltd.","BGMEA"
"Otobi Apparels (Pvt.) Ltd.","BGMEA"
"Surma Apparels Ltd.","BGMEA"
"Sob Apparels Ltd.","BGMEA"
"Doreen Apparels Ltd.","BGMEA"
"Sweater Fashions Ltd.","BGMEA"
"Impress Fashion Ltd.","BGMEA"
"Sunshine Apparels Ltd.","BGMEA"
"The Overseas Apparels & Embroidery Ltd.","BGMEA"
"East West Dress Pant Ltd.","BGMEA"
"L.A. Fashion (Pvt.) Ltd.","BGMEA"
"Welform Apparels Ltd.","BGMEA"
"Lethe Apparels Ltd.","BGMEA"
"Luna Apparels (Pvt.) Ltd.","BGMEA"
"Around Star Sweaters Ltd.","BGMEA"
"Elaine Apparels Ltd.","BGMEA"
"Fashion Trust (Pvt.) Ltd.","BGMEA"
"Satorian Fashions (Pvt.) Ltd.","BGMEA"
"Stylo Knitwear (Pvt.) Ltd.","BGMEA"
"Parsa Tex Ltd.","BGMEA"
"Good Day Apparels Ltd.","BGMEA"
"Taurus Knitwears (Pvt.) Ltd.","BGMEA"
"Multifabs Ltd.","BGMEA"
"Softex Cotton (Pvt.) Ltd. (U-1)","BGMEA"
"Eden Apparels Ltd.","BGMEA"
"Tristar Fashions","BGMEA"
"Fashion Apparels Ltd.","BGMEA"
"Multistyle Costume Ltd.","BGMEA"
"Alauddin & Sons (Pvt.) Ltd. (Gr.Dv.)","BGMEA"
"Utah Apparels Ltd.","BGMEA"
"Utah Knitwear Ltd.","BGMEA"
"Beryl Apparels (Pvt.) Ltd.","BGMEA"
"She And He Apparels Ltd.","BGMEA"
"Seha Apparels Int'l Ltd.","BGMEA"
"Pioneer Casual Wear Ltd.","BGMEA"
"Kaniz Garments Ltd.","BGMEA"
"Patrician Knit Wears Ltd.","BGMEA"
"KCA Garments Industry Ltd.","BGMEA"
"Phantom Apparels Ltd.","BGMEA"
"Bangladesh Dyeing & Finishing Inds. Ltd.","BGMEA"
"Meditex Industries Ltd.","BGMEA"
"N.R. Knitting Mills Ltd.","BGMEA"
"Alif Textiles Ltd.","BGMEA"
"Knittex Industries Ltd.","BGMEA"
"Maritime Bags Ltd.","BGMEA"
"R.A. Dyeing & Printing Inds.(Pvt) Ltd.","BGMEA"
"Standard Stitches Ltd. (Gmts. Unit)","BGMEA"
"Kazipur Fashions Ltd.","BGMEA"
"Imperial Knitting Industries Ltd. (U-2)","BGMEA"
"Tulagaon Fashions Ltd.","BGMEA"
"Woodland Apparels Ltd.","BGMEA"
"Mollah Apparels Ltd.","BGMEA"
"Garib & Garib Co. Ltd.","BGMEA"
"Parsa Knitting Industries Ltd.","BGMEA"
"Jams Sweaters (Pvt.) Ltd.","BGMEA"
"Road Apparels Ltd.","BGMEA"
"Great Garments Ltd.","BGMEA"
"Lakhsma Fashion Ltd.","BGMEA"
"Fairlon Garments Ltd.","BGMEA"
"Far East Knitting & Dyeing Ind. Ltd.","BGMEA"
"Fashion Toys Ltd.","BGMEA"
"Meer Ala Ltd.","BGMEA"
"Sant Martin Fashions (Pvt) Ltd.","BGMEA"
"Rabbani Garments Ltd.","BGMEA"
"Sandiana Sweaters Ltd.","BGMEA"
"Sun-Seeds Apparel Ltd.","BGMEA"
"Odessa Fashions Ltd.","BGMEA"
"Four Brothers Fashion","BGMEA"
"Majestic Apparels Industry Ltd.","BGMEA"
"Azmat Fashions Ltd.","BGMEA"
"Naser Garments Ltd.","BGMEA"
"Patrick Fashions Ltd.","BGMEA"
"IVY Apparels Ltd.","BGMEA"
"Unique Sweater Inds. Ltd.","BGMEA"
"Bonny Knit Fashion Ltd.","BGMEA"
"Farhan Style Ltd.","BGMEA"
"Roshawa Knitwears Ltd. (Unit-2)","BGMEA"
"Banani Hosiery Mills","BGMEA"
"B.H.S. Fashions Ltd.","BGMEA"
"Young Fashion (Pvt) Ltd.","BGMEA"
"Stitchwell Designs Ltd.","BGMEA"
"M.S.H. Garments","BGMEA"
"The Immaculate Exports Ltd.","BGMEA"
"Lodestar Fashions Ltd.","BGMEA"
"Rolly Apparels Ltd.","BGMEA"
"Ayman Textile & Hosiery Ltd.","BGMEA"
"Orbital Sweaters Ltd.","BGMEA"
"Cotton Dyeing & Finishing Mills Ltd.","BGMEA"
"Purple Apparels Ltd.","BGMEA"
"N.K.K. Knitwear Ltd.","BGMEA"
"Marke Knit-Wear Ltd.","BGMEA"
"Maitri Knittings Ltd.","BGMEA"
"Trasco Apparels Ltd.","BGMEA"
"Ratul Garments","BGMEA"
"Masud Apparels Ltd.","BGMEA"
"Victory Knittings (Pvt) Ltd.","BGMEA"
"Angora Sweaters Ltd.","BGMEA"
"Paddock's Jeans Ltd.","BGMEA"
"Philadelphia Apparels Ltd.","BGMEA"
"Unison Knitwear Ltd.","BGMEA"
"CA Knitwear Ltd.","BGMEA"
"Knit Garden (Pvt) Ltd.","BGMEA"
"Attires Manufacturing Company Ltd.","BGMEA"
"Saba Knit Apparels Ltd.","BGMEA"
"Paltan Export House Ltd.","BGMEA"
"Six-H Garments Ltd.","BGMEA"
"Hanaro Fashions Ltd.","BGMEA"
"Hisna Knitting Complex (Pvt) Ltd.","BGMEA"
"Le Nouveautex (Pvt) Ltd.","BGMEA"
"Florence Fabrics Ltd.","BGMEA"
"Bichitra Garments Ltd.","BGMEA"
"Munni Garments","BGMEA"
"Pandemic Fashions Ltd.","BGMEA"
"Newtex Apparel Wear Ltd.","BGMEA"
"Amber Apparels & Textiles Ltd.","BGMEA"
"CD Acrylic Bangladesh Ltd.","BGMEA"
"Nipun (Pte) Ltd.","BGMEA"
"Sikam Outwear Ltd.","BGMEA"
"Savar Textiles Ltd.","BGMEA"
"Supasox Ltd.","BGMEA"
"Fuji Knit & Fashion Wear Ltd.","BGMEA"
"A.R. Apparels Ltd.","BGMEA"
"Verbena Knitwear Ltd.","BGMEA"
"Hisam Apparels Ltd.","BGMEA"
"Green Lotus (Pvt) Ltd.","BGMEA"
"South East Fabrics Ltd.","BGMEA"
"Fair Child Sports Wear Ltd.","BGMEA"
"Birds Fadrex Ltd.","BGMEA"
"Adorn Garments Ltd.","BGMEA"
"Kanak Hosiery","BGMEA"
"Newage Apparels Ltd.","BGMEA"
"Tex-Style Garments Ltd.","BGMEA"
"JNG Fashion Fabrics Ltd.","BGMEA"
"Multiple Fashions Ltd.","BGMEA"
"Bismillah Apparels Ltd.","BGMEA"
"Wega Fashion Sweater (Pvt.) Ltd.","BGMEA"
"Roland International Ltd.","BGMEA"
"B.R. Knitting Mills","BGMEA"
"KRC Top Shirts  Ltd.","BGMEA"
"AJI Apparels Industry Ltd.","BGMEA"
"Navy Hosiery","BGMEA"
"Lenny Fashions Ltd.","BGMEA"
"Astex Garments Limited","BGMEA"
"A & H Enterprises Ltd.","BGMEA"
"Lusaka Fashion Ltd.","BGMEA"
"Wintex Fashion Wear Ltd.","BGMEA"
"Rahan Garments (Pvt) Ltd.","BGMEA"
"Capital Designs Limited","BGMEA"
"Outright Fashion Ltd.","BGMEA"
"Friends World Knit Wears Ltd.","BGMEA"
"H.M. Style Ltd.","BGMEA"
"Dynasty Knit Fashions Ltd.","BGMEA"
"Islam Products Ltd.","BGMEA"
"Baridhi Garments Ltd.","BGMEA"
"M.M. Trade Apparels","BGMEA"
"Fatullah Dyeing & Calendering Mills Ltd.","BGMEA"
"Actor Sporting Limited","BGMEA"
"Mansheen Co. (BD) Limited.","BGMEA"
"Bela Fashions Ltd.","BGMEA"
"Panache Knitted Creations Ltd.","BGMEA"
"Opex Fashions Limited","BGMEA"
"Posh Sweater Limited","BGMEA"
"Claxton Apparels and Textiles Ltd.","BGMEA"
"Radix Limited","BGMEA"
"The Shanin Ltd.","BGMEA"
"Toyo Composite Knit Garments Ltd.","BGMEA"
"Conexpo (Garments & Sweater Division) Ltd.","BGMEA"
"Farnoor Garments Ltd.","BGMEA"
"Dhan Sheree Knitting Ltd.","BGMEA"
"Pierre Leon Ltd.","BGMEA"
"Crystal Wears Ltd.","BGMEA"
"Sgwicus (BD) Limited","BGMEA"
"Murad Apparels Ltd.","BGMEA"
"Nice Apparels Inds. Ltd.","BGMEA"
"Seha International Bangladesh Ltd.","BGMEA"
"A.G. Dresses Limited.","BGMEA"
"Kessler Fashion Industries Ltd.","BGMEA"
"Apparel Mart Ltd.","BGMEA"
"Youngones (BD) Ltd. Unit-2","BGMEA"
"Oli Knitting Fabrics Ltd.","BGMEA"
"Z & M Apparels Ltd.","BGMEA"
"Experience Clothing Co. Ltd.","BGMEA"
"Armana Fashions Limited","BGMEA"
"Shah Keramat Garments Ltd.","BGMEA"
"Dynamic Fashions Ltd.","BGMEA"
"Proshiu Bastra Limited","BGMEA"
"Youth Fashion Limited","BGMEA"
"Taj Knitting Inds. Ltd.","BGMEA"
"Rupa Fashions (Pvt.) Ltd.","BGMEA"
"Noble Industries (BD) Ltd.","BGMEA"
"Hamid Fashion Limited","BGMEA"
"Iqbal Texware Limited","BGMEA"
"Shovon Silk & Knitting Mills (Pvt) Ltd.","BGMEA"
"Nazia Fashion Limited","BGMEA"
"Cad Tex Garments Limited","BGMEA"
"Wright Garments (Pvt) Ltd.","BGMEA"
"Alif Outwears Limited","BGMEA"
"Meghdut Industries Ltd.","BGMEA"
"Dress Design (Pvt) Limited","BGMEA"
"Daniel Knitwear Limited","BGMEA"
"Van Happen Fashion Manufacturing Ltd.","BGMEA"
"Tex-Knit Garments Ltd.","BGMEA"
"Razzak Textile Mills Limited","BGMEA"
"Prominent Apparels","BGMEA"
"Flamingo Apparels Ltd.","BGMEA"
"J.K. Fabrics Ltd. Unit-2","BGMEA"
"Sikder Creation Ltd.","BGMEA"
"The Faiyaz Ltd.","BGMEA"
"United Knit Wears (Pvt) Ltd.","BGMEA"
"Cotton Textile And Apparels Ltd.","BGMEA"
"Babylon Dresses Ltd.","BGMEA"
"Padma Satel Arab Fashions Ltd.","BGMEA"
"Luman Dresses Limited","BGMEA"
"Radial International Ltd.","BGMEA"
"KRC Composite Textile Industry Ltd.","BGMEA"
"SMA Bags Limited","BGMEA"
"Hornbill Apparel Ltd.","BGMEA"
"Mark Designers Ltd.","BGMEA"
"Eraksasa Apparels Limited","BGMEA"
"Knit Concern Ltd.","BGMEA"
"House of Sunshine Knitwear Limited","BGMEA"
"Al-Islam Fashion Wears Ltd.","BGMEA"
"Tivoli Apparels Ltd.","BGMEA"
"Robintex (Bangladesh) Limited","BGMEA"
"Beautiful Jackets Ltd.","BGMEA"
"Tokio Mode Limited","BGMEA"
"Esquire Knitwear Limited","BGMEA"
"Kumudini Apparels","BGMEA"
"Sany Industry & Business Ltd.","BGMEA"
"Zawad Fashions Ltd.","BGMEA"
"Fashion Skirt & Trousers Ltd.","BGMEA"
"Design Textile (BD) Limited","BGMEA"
"Padma Polycotton Knit Fabrics Ltd.","BGMEA"
"Arch Limited","BGMEA"
"M & M Shirts Ltd.","BGMEA"
"Essential Knitting","BGMEA"
"Agami Fashions Limited","BGMEA"
"S.R. Apparels Ltd.","BGMEA"
"Maurisus Intercontinental Ltd.","BGMEA"
"Parkscene Bangladesh Ltd.","BGMEA"
"Bangladesh Dresses Ltd.(Unit-2)","BGMEA"
"Chun Ji Knit Ltd.","BGMEA"
"S.K. Fashions Ltd.","BGMEA"
"Moon Readywears Ltd.","BGMEA"
"Gumti Textiles Ltd.","BGMEA"
"Well Sweaters","BGMEA"
"Life Textile (Pvt.) Ltd.","BGMEA"
"Palmal Styles Limited","BGMEA"
"Absolute Quality Wear Limited","BGMEA"
"Birds Garments Ltd. Unit-2","BGMEA"
"Arrow Sports Wear Ltd.","BGMEA"
"Delta Ties Limited","BGMEA"
"Rezaul & Brothers (Pvt.) Ltd.","BGMEA"
"Tosy Knit Fabrics Ltd.","BGMEA"
"The Yolk Designs Ltd.","BGMEA"
"Tung Hai Sweaters Ltd.","BGMEA"
"Athletic Support Ltd.","BGMEA"
"Diplomat Fashion Wear (Pvt.) Ltd.","BGMEA"
"M.B. Knit Fashion","BGMEA"
"Sweaters Boutique Limited","BGMEA"
"Peoples Fashion Limited","BGMEA"
"Creative Apparels Ltd.","BGMEA"
"United Fashion Trousers Ltd.","BGMEA"
"Paradise Dresses Ltd.","BGMEA"
"MA Fashions Ltd.","BGMEA"
"Rupashi Fashions Ltd.","BGMEA"
"Seacotex Fabrics Ltd.","BGMEA"
"Pritam Fashion Wear (Pvt.) Ltd.","BGMEA"
"Liz Fashion Industry Ltd.","BGMEA"
"RGR Sweater Ltd.","BGMEA"
"R.R. Sweaters Ltd.","BGMEA"
"Sinha Wool Wears Ltd.","BGMEA"
"Capital Sweater Limited","BGMEA"
"Allure Apparel Ltd.","BGMEA"
"The Sweater (Factory) Co. Ltd.","BGMEA"
"Shahriyar Fabric Inds. Ltd.","BGMEA"
"Shafi Processing Inds. Ltd.","BGMEA"
"K. Ali Sweater Industries Ltd.","BGMEA"
"Haesong Korea Ltd.","BGMEA"
"Divine Textile Ltd.","BGMEA"
"Rahimaaziz Knitspin Limited","BGMEA"
"Seibu Fashions Ltd.","BGMEA"
"News Style Garments Ltd.","BGMEA"
"Qayium Garments","BGMEA"
"Feather Tex Limited","BGMEA"
"Ameen Fabrics Ltd.","BGMEA"
"Sinha Fabrics Ltd.","BGMEA"
"York Fashion Ltd.","BGMEA"
"Han A Hat & Caps Ltd.","BGMEA"
"Fashion of Next Generation Ltd.","BGMEA"
"Todays Fashion Ltd.","BGMEA"
"Doel Apparels Limited","BGMEA"
"The Fashion Island Ltd.","BGMEA"
"Palmal Knitwear Factory Ltd. (Unit-2)","BGMEA"
"Zaf Sweater  And Garments Ltd.","BGMEA"
"Kimia Garments Ind. Ltd.","BGMEA"
"Rising Fashions Ltd.","BGMEA"
"Mohammadi Designers Ltd.","BGMEA"
"Floret Fashion Wears (Pvt) Ltd.","BGMEA"
"Lyric Fashion Wear Ltd.","BGMEA"
"Rumana Fashion Ltd.","BGMEA"
"Mondol Textile Ltd.","BGMEA"
"Elate Fashion Ltd.","BGMEA"
"Defoin Design (Pvt) Ltd.","BGMEA"
"The Immaculate Apparels Ltd.","BGMEA"
"Fashions Suits And Trousers Ltd.","BGMEA"
"Al-Muslim Fashions Wear Ltd.","BGMEA"
"Rose Fashion Ltd.","BGMEA"
"Opex Designers Ltd.","BGMEA"
"Tausif Apparels","BGMEA"
"Paradise Hi-Design Ltd.","BGMEA"
"Evergreen Sweaters ltd.","BGMEA"
"Thai Bangla Imperial Ltd.","BGMEA"
"Hamid Textile Mills Ltd.","BGMEA"
"Europa Textile Mills Ltd.","BGMEA"
"Design Sportswear (BD) Ltd.","BGMEA"
"Classic Supplies Ltd.","BGMEA"
"Fancy Fashion Sweaters Ltd.","BGMEA"
"Baby's Fashions Ltd.","BGMEA"
"R.B. Garments Ltd.","BGMEA"
"Esteem Apparels Ltd.","BGMEA"
"Global Outerwear Ltd.","BGMEA"
"Designer Line (Pvt) Ltd.","BGMEA"
"Ritz Fashions Ltd.","BGMEA"
"N.K.K. Sweaters Ltd.","BGMEA"
"FCI (BD) Limited","BGMEA"
"Brishti Garments Ltd.","BGMEA"
"M-Yew Fashion Ltd.","BGMEA"
"Rahman Knit Garments Ltd. (Unit-2)","BGMEA"
"Uni Dress Limited","BGMEA"
"Saasco Garments Ltd.","BGMEA"
"Pioneer Apparels Ltd.","BGMEA"
"Genius Fashions Ltd.","BGMEA"
"Alltex Industries Ltd.","BGMEA"
"Apex Weaving & Finishing Mills Ltd.","BGMEA"
"Sark Knitwear Ltd.","BGMEA"
"Macys Fashions Ltd.","BGMEA"
"Shezads Limited (Unit-II)","BGMEA"
"Green Knit Apparels Ltd.","BGMEA"
"Biswas Fashions Ltd.","BGMEA"
"Youngones Fashions Ltd.","BGMEA"
"Medlar Fashions Ltd.","BGMEA"
"Fountain Garments Manufacturing Ltd.","BGMEA"
"Jaya Knitting Ltd.","BGMEA"
"S.B. Fashions Garments","BGMEA"
"Sajid Apparels Ltd.","BGMEA"
"Cut N Sew Ltd.","BGMEA"
"Bengal Fine Knitex Ltd.","BGMEA"
"Sunlit Fashions Ltd.","BGMEA"
"Supertex Merchandising Co. Ltd.","BGMEA"
